target_id,target_name,similar_id,similar_name,overall_score,contour_score,iou_score,radial_score,geometric_score
1,bulbasaur,44,gloom,0.8227805303912664,0.9185994271291987,0.6294188653216072,0.9641841967420444,0.7367826059469588
1,bulbasaur,91,cloyster,0.8202311354817815,0.8596300598940574,0.6657535020334387,0.9719009640740212,0.8227286809932265
1,bulbasaur,20,raticate,0.8109241308702931,0.8633559788290137,0.6513784887678693,0.9749934923910918,0.7516949423010842
1,bulbasaur,33,nidorino,0.8083387115841731,0.8674768377248561,0.6558679186406059,0.9559080183669506,0.7340599722865876
1,bulbasaur,27,sandshrew,0.8066705553402731,0.8070614448713117,0.6747872841661816,0.9765168577760874,0.8610642058667645
1,bulbasaur,57,primeape,0.80589050795992,0.8814655574217098,0.6018271373930272,0.9636109500604806,0.8003395376123176
1,bulbasaur,115,kangaskhan,0.8050444324719562,0.8375032645530689,0.6523256419605188,0.9580838978867278,0.8272865448522743
1,bulbasaur,37,vulpix,0.8031971276187992,0.8155959749070154,0.715027808362271,0.8961661303955584,0.8321716906820013
1,bulbasaur,120,staryu,0.8025000060255914,0.8323811224695032,0.6379252178802362,0.9695525911262839,0.8425947344846243
1,bulbasaur,137,porygon,0.802008138329523,0.8117739800258467,0.6720607108978294,0.9522331260114181,0.8523370784755187
1,bulbasaur,87,dewgong,0.8007237464722955,0.8305348048144252,0.6724890829694323,0.9206085920934778,0.8264138123700013
1,bulbasaur,23,ekans,0.7962359559524196,0.8006138377303099,0.6782825941379488,0.9407516642187231,0.8435530977516633
1,bulbasaur,12,butterfree,0.7935740774700163,0.7729997670195642,0.6894145122746035,0.9675893918277308,0.8403193861426338
1,bulbasaur,110,weezing,0.7931217409640632,0.8346998844678385,0.6133904818208691,0.9776303205574466,0.7969857851917777
1,bulbasaur,96,drowzee,0.7898707901384211,0.8173279829864185,0.6398145303203822,0.9605068870964585,0.788938604284473
1,bulbasaur,47,parasect,0.7813501113246099,0.7763026203218782,0.6496177901320361,0.9727458250319948,0.8139456114984875
1,bulbasaur,136,flareon,0.7752645117362269,0.7675885982176879,0.6637658002111451,0.9543553525968104,0.782282618664461
1,bulbasaur,129,magikarp,0.7726128892550834,0.8424435852127881,0.5691560518815797,0.9675202023597939,0.7138459913353541
1,bulbasaur,31,nidoqueen,0.7724081149300853,0.7580998039417116,0.6509773593962506,0.9644464832903219,0.8098568887646105
1,bulbasaur,24,arbok,0.7704348248388462,0.7808102030136203,0.6186193293885601,0.9388902129903199,0.8474690221876606
1,bulbasaur,34,nidoking,0.7673857221896909,0.7917428617614506,0.6015993438589297,0.9746415430204013,0.7528046572335142
1,bulbasaur,28,sandslash,0.7658384781815368,0.8045498189992589,0.5904529655791008,0.9520254079222032,0.7647757932366234
1,bulbasaur,82,magneton,0.7642311694149418,0.8194310378407147,0.5821637593045059,0.95411125534333,0.7098737541863818
1,bulbasaur,67,machoke,0.7600604259884948,0.8238974535253868,0.5694713534458898,0.9141784590851786,0.7682434672753737
1,bulbasaur,48,venonat,0.7598119339128323,0.8282232939599489,0.5564933764413036,0.9633568399918526,0.6890323539809111
1,bulbasaur,70,weepinbell,0.7561289013278774,0.780947923592562,0.5737082947173309,0.9433382642447848,0.8296959062669634
1,bulbasaur,93,haunter,0.7543826829738078,0.8527134666043144,0.4932061628760088,0.9626762301095279,0.7280020144737387
1,bulbasaur,61,poliwhirl,0.7540012826886964,0.7435691690018057,0.6036398684658124,0.9668309127687711,0.8211547199447612
1,bulbasaur,40,wigglytuff,0.7537583686523457,0.7845125939682632,0.5668653354939712,0.950334118723799,0.7982690667208919
1,bulbasaur,79,slowpoke,0.7518156108022581,0.7196808452251199,0.6410837131613962,0.9495722450872698,0.8170370974633726
1,bulbasaur,88,grimer,0.7472423335461368,0.780825358908328,0.5388570760780648,0.9671401769204822,0.798270317752897
1,bulbasaur,7,squirtle,0.7444347832204213,0.7138154691547377,0.6084753073107613,0.9570406582795976,0.8495787170937836
1,bulbasaur,104,cubone,0.7390842122706203,0.7409215268468364,0.591295541163615,0.9276469106530061,0.7979755705219986
1,bulbasaur,16,pidgey,0.7353986733560035,0.7195404338667251,0.5936418994253695,0.9634059378739097,0.7680874240692065
1,bulbasaur,135,jolteon,0.7351014586328587,0.776437199329938,0.550945854100589,0.9560129976535092,0.6804022314000495
1,bulbasaur,43,oddish,0.7330589858330196,0.7284984648241148,0.6051881333446242,0.9022474359017756,0.7965367271963139
1,bulbasaur,133,eevee,0.7318131833656557,0.7395347603327213,0.5827943449144296,0.9438466769235978,0.7239164037351873
1,bulbasaur,83,farfetchd,0.7306770515576996,0.7483979589174122,0.5524375140734069,0.9545826023969821,0.7467009328931614
1,bulbasaur,46,paras,0.7276085287414825,0.7326042236537701,0.5594142140894541,0.9555270264226242,0.7563716976861334
1,bulbasaur,21,spearow,0.7268570281010515,0.742016647596493,0.5648507336819025,0.9501254931504162,0.7057005032780029
1,bulbasaur,10,caterpie,0.726704790481961,0.6946307827290444,0.5914919019933554,0.9182187899635372,0.8776114879962913
1,bulbasaur,112,rhydon,0.7233429578168651,0.7418606445760833,0.5377619727752354,0.9527302595678937,0.7472405624028238
1,bulbasaur,30,nidorina,0.7220279773028431,0.7121141818545396,0.5868190798758115,0.9277102219584357,0.755945362065966
1,bulbasaur,73,tentacruel,0.7217490298239053,0.7896811677160289,0.510630253322863,0.9236431665572817,0.6795885342917841
1,bulbasaur,126,magmar,0.7214764643024222,0.7497236112286848,0.5335366722727403,0.9601010524078988,0.6950580764754644
1,bulbasaur,58,growlithe,0.7143331887452898,0.7174658350894332,0.5443448830693262,0.9349653243725802,0.7705032491420265
1,bulbasaur,15,beedrill,0.7131806575285177,0.7830390023897289,0.48622960206126536,0.946631616819831,0.6476985259028025
1,bulbasaur,149,dragonite,0.7080729974421422,0.7645989701817717,0.49358716282279863,0.9458278516972483,0.6499169018314426
1,bulbasaur,6,charizard,0.7065948754911413,0.7090054374499888,0.5543775147581427,0.9357022510719901,0.6953899586930491
1,bulbasaur,109,koffing,0.7040965101311745,0.6487591495179875,0.5739018015232848,0.9579851705691549,0.8082527575316302
1,bulbasaur,78,rapidash,0.7011310975827105,0.7179001875557595,0.5303181339181453,0.9564821223003895,0.6357915792488529
1,bulbasaur,134,vaporeon,0.6968069208354614,0.6844084401306464,0.5695421311612132,0.89714547645674,0.7275181014349085
1,bulbasaur,19,rattata,0.6962657587451997,0.7081502560590744,0.5309034642826442,0.9019159885147566,0.7335141933382533
1,bulbasaur,105,marowak,0.6940913817460382,0.6917496283403821,0.5219415271075788,0.9486730601434812,0.7107446024891543
1,bulbasaur,25,pikachu,0.6938913838245239,0.6666777336134905,0.5611669735164991,0.9135328655434561,0.7616362521548672
1,bulbasaur,127,pinsir,0.6885758310867666,0.6984082686148939,0.4978603979104146,0.9537798739751828,0.6909842947264805
1,bulbasaur,122,mr-mime,0.6844500096560734,0.6734073293247071,0.5129574410409325,0.9534788827496672,0.705040690639773
1,bulbasaur,62,poliwrath,0.6780956911988372,0.670529586679813,0.49228628112877915,0.9466737251225376,0.7286322716377063
1,bulbasaur,103,exeggutor,0.6780455634889702,0.6644961283644567,0.5166792706495252,0.9534429344262767,0.6655474406307462
1,bulbasaur,97,hypno,0.6760887374252544,0.6583835155758533,0.5212352082995624,0.9230799042766418,0.7174878784971602
1,bulbasaur,14,kakuna,0.6750566651365906,0.7082925616653134,0.4670393535174628,0.8995306215881882,0.717217100975888
1,bulbasaur,64,kadabra,0.6737924860458102,0.6846083444317972,0.4932506384531193,0.9305965892975149,0.658546388776526
1,bulbasaur,65,alakazam,0.6736691313591042,0.6562085362452672,0.535383099571114,0.9141216558741718,0.677464558148287
1,bulbasaur,72,tentacool,0.6681672528805083,0.668904320975321,0.4582007520971941,0.9365704735026485,0.7583120416069183
1,bulbasaur,11,metapod,0.6659434799431646,0.5908719967006171,0.5169022395818698,0.9528423668743956,0.839555360134777
1,bulbasaur,116,horsea,0.6653728944130498,0.6304052265079724,0.5352983696088668,0.8777425385183384,0.7707278522353309
1,bulbasaur,68,machamp,0.664606220648778,0.6605525553988086,0.48674363611072474,0.9372303786223036,0.6691603193157636
1,bulbasaur,128,tauros,0.6645014961825898,0.6649758602266865,0.4702832647859584,0.955366493175836,0.6635287402096047
1,bulbasaur,5,charmeleon,0.6632713475630293,0.6505586797619876,0.4846092458530468,0.9512406268399273,0.6741697653433469
1,bulbasaur,22,fearow,0.6629926994830759,0.6967349890487292,0.45053898922021557,0.9088897433735781,0.6735905842280394
1,bulbasaur,66,machop,0.6625719966787578,0.6617394565327283,0.4902962497859467,0.8829196773974946,0.742034036503836
1,bulbasaur,55,golduck,0.6609271771080859,0.6463401004223029,0.4780857142857143,0.9495499401417635,0.6905543462509776
1,bulbasaur,95,onix,0.6537498041967182,0.622058910776724,0.5039085195161886,0.8947042568936568,0.7481283265244063
1,bulbasaur,60,poliwag,0.6530209988194343,0.5511366562459452,0.5376365441906653,0.9393148843865502,0.8341239618654664
